Commodity,Detailed_Comm_code,Detailed_Comm_Name,Abstract_Comm_code,Abstract_Comm_Name
GRAVEL,3,Stone,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
GRAYNITE,3,Stone,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
GRENITE,3,Stone,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
GRENITE STONE,3,Stone,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
GRENITEE,3,Stone,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
GREYNIRE,3,Stone,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
GREYNITE,3,Stone,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
JALLI,3,Stone,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
JEERA STONE,3,Stone,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
KANKAR,3,Stone,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
KARI STONE CHIP,3,Stone,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
KOTA,3,Stone,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
KOTA MARBLE,3,Stone,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
KOTA STONE,3,Stone,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
LIME STONE,3,Stone,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
MARBA;E,3,Stone,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
MARBAL,3,Stone,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
MARBALE,3,Stone,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
MARBEL,3,Stone,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
MARBLE,3,Stone,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
MARBLE SHEET,3,Stone,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
MARBLES,3,Stone,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
MORAN,3,Stone,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
MRBALE,3,Stone,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
OGENKAL ,3,Stone,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
PAJIRI,3,Stone,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
PATHAR,3,Stone,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
